etak,tauk,uk'
2.590000e-03,7.076889e-01,5.008236e-01,1.413050e+00
7.821000e-03,7.135287e-01,5.091231e-01,1.401485e+00
1.321000e-02,7.177156e-01,5.151157e-01,1.393310e+00
1.885000e-02,7.246481e-01,5.251149e-01,1.379980e+00
2.486000e-02,7.315587e-01,5.351781e-01,1.366944e+00
3.131000e-02,7.390435e-01,5.461853e-01,1.353100e+00
3.830000e-02,7.453546e-01,5.555534e-01,1.341643e+00
4.591000e-02,7.500488e-01,5.625732e-01,1.333247e+00
5.421000e-02,7.525432e-01,5.663212e-01,1.328828e+00
6.326000e-02,7.526471e-01,5.664777e-01,1.328644e+00
7.313000e-02,7.510604e-01,5.640917e-01,1.331451e+00
8.386000e-02,7.520901e-01,5.656395e-01,1.329628e+00
9.549000e-02,7.580860e-01,5.746943e-01,1.319112e+00
1.080000e-01,7.704980e-01,5.936673e-01,1.297862e+00
1.216000e-01,7.803695e-01,6.089765e-01,1.281444e+00
1.360000e-01,7.982680e-01,6.372318e-01,1.252712e+00
1.515000e-01,8.160538e-01,6.659439e-01,1.225409e+00
1.679000e-01,8.324835e-01,6.930288e-01,1.201225e+00
1.852000e-01,8.509325e-01,7.240860e-01,1.175181e+00
2.035000e-01,8.746907e-01,7.650838e-01,1.143261e+00
2.228000e-01,8.966401e-01,8.039634e-01,1.115275e+00
2.429000e-01,9.167848e-01,8.404943e-01,1.090769e+00
2.640000e-01,9.351136e-01,8.744375e-01,1.069389e+00
2.858000e-01,9.617490e-01,9.249610e-01,1.039772e+00
3.085000e-01,9.895896e-01,9.792876e-01,1.010520e+00
3.320000e-01,1.025358e+00,1.051360e+00,9.752688e-01
3.563000e-01,1.057332e+00,1.117951e+00,9.457768e-01
3.813000e-01,1.081504e+00,1.169652e+00,9.246380e-01
4.069000e-01,1.106575e+00,1.224508e+00,9.036893e-01
4.332000e-01,1.136456e+00,1.291533e+00,8.799283e-01
4.602000e-01,1.176764e+00,1.384773e+00,8.497884e-01
4.877000e-01,1.214020e+00,1.473844e+00,8.237098e-01
5.157000e-01,1.242079e+00,1.542759e+00,8.051020e-01
5.443000e-01,1.285339e+00,1.652095e+00,7.780051e-01
5.734000e-01,1.327077e+00,1.761133e+00,7.535357e-01
6.029000e-01,1.354684e+00,1.835170e+00,7.381793e-01
6.328000e-01,1.382100e+00,1.910201e+00,7.235366e-01
6.632000e-01,1.433811e+00,2.055814e+00,6.974420e-01
6.939000e-01,1.497757e+00,2.243277e+00,6.676649e-01
7.250000e-01,1.550599e+00,2.404357e+00,6.449121e-01
7.563000e-01,1.582788e+00,2.505217e+00,6.317967e-01
7.880000e-01,1.609524e+00,2.590567e+00,6.213018e-01
8.200000e-01,1.636875e+00,2.679361e+00,6.109201e-01
8.522000e-01,1.655130e+00,2.739456e+00,6.041821e-01
8.847000e-01,1.664512e+00,2.770600e+00,6.007767e-01
9.174000e-01,1.666671e+00,2.777794e+00,5.999983e-01
9.503000e-01,1.664669e+00,2.771122e+00,6.007202e-01
